pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_jas16
2016,07,017849,006,0127,11,01,0,0,16041101,1,1,2, ,1,42,6,5, ,1,1,3,7,2016,9,7,2016,26,5,1974,2,1, , , , , , , , , , , , ,436,5229,3,5,2, ,99,99,2012,0,0,0,0,0,0,0,0,2,48,2,2,4,2500,286, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2500,286, , , , ,2786,2786,1,361.49401084048
2016,07,017849,006,0127,11,02,0,0,16041102,2,1,2, ,2,46,6,5, ,2,2,3,7,2016,9,7,2016,27,11,1969,1, , , , , , , , , , , , , ,984,2100,4,5,1,40,99,99,2011,0,9,9,9,9,9,5,50,1, ,2,2,2,250,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1083,0, , , , ,1083,1083,1,157.420205518158
2016,07,017849,006,0128,11,01,0,0,16041101,1,1,2, ,1,26,6,5, ,1,1,3,7,2016,9,7,2016,25,6,1990,1, , , , , , , , , , , , , ,984,1074,4,5,2, ,3,6,2016,8,8,8,8,8,0,8,48,1, ,1,2,4,850,208, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,4,4,1,850,208, , , , ,1058,1058,1,361.49401084048
2016,07,017849,006,0128,11,02,0,0,16041102,2,1,2, ,2,25,6,5, ,2,2,3,7,2016,9,7,2016,19,3,1991,1, , , , , , , , , , , , , ,423,4773,3,5,1,50,11,3,2016,0,9,9,9,9,9,0,45,1, ,2,2,4,850,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,8,4,1,850,0, , , , ,850,850,1,340.764980146425
2016,07,017849,006,0129,11,03,0,0,16041103,3,1,2, ,1,56,10,5, ,3,4,3,7,2016,9,7,2016,24,7,1959,1, , , , , , , , , , , , , ,423,6920,3,5,1,25,99,99,2000,0,8,8,8,8,8,0,40,1, ,2,2,4,1700,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1700,0, , , , ,1700,1700,1,178.721570040169
2016,07,017849,006,0129,11,05,0,0,16041105,3,1,2, ,2,48,6,5, ,5,5,3,7,2016,9,7,2016,4,6,1968,1, , , , , , , , , , , , , ,572,4752,3,5,1,50,99,99,2002,0,8,8,8,8,8,6,46,1, ,1,2,4,1300,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1300,0, , , , ,1300,1300,1,157.420205518158
2016,07,017852,006,0075,11,02,0,0,16041102,3,1,2, ,1,60,10,5, ,2,2,26,6,2016,2,7,2016,5,3,1956,1, , , , , , , , , , , , , ,221,2610,3,5,1,50,99,99,2006,0,8,8,8,8,8,4,44,1, ,1,2,4,3500,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,3500,0, , , , ,3500,3500,1,178.721570040169
2016,07,017852,006,0077,22,01,0,0,16042201,1,1,2, ,1,41,8,3, ,1,1,26,6,2016,2,7,2016,17,3,1975,1, , , , , , , , , , , , , ,523,5610,3,5,1,10,99,99,2014,8,6,8,14,8,14,8,66,1, ,2,2,4,1800,0, , ,1500,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1800,0, , ,1500,0,3300,1800,1,361.49401084048
2016,07,017852,006,0077,22,02,0,0,16042202,2,1,2, ,2,36,6,5, ,2,1,3,7,2016,9,7,2016,10,4,1980,1, , , , , , , , , , , , , ,832,7310,4,5,2, ,99,99,2009,0,8,8,8,8,8,4,44,1, ,1,2,4,1200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,340.764980146425
2016,07,017852,006,0078,11,01,0,0,16041101,1,1,2, ,2,46,8,3, ,1,1,26,6,2016,2,7,2016,29,1,1970,1, , , , , , , , , , , , , ,572,4771,3,5,1,2,15,5,2015,0,9,9,9,9,9,15,60,2,56,1,2,2,200,0, , ,20,0,0, , , , , , , , ,4,0,0,0,0,0,0,1,6,4,1,866,0, , ,20,0,886,866,1,157.420205518158
2016,07,017852,006,0078,11,02,0,0,16041102,3,1,2, ,2,20,6,5, ,2,2,3,7,2016,9,7,2016,7,4,1996,1, , , , , , , , , , , , , ,572,4719,3,5,1,2,1,2,2016,0,0,8,0,0,8,0,16,1, ,1,2,4,173,0, , , , ,1, , , , , , , , ,4,0,0,0,0,0,0,1,6,4,1,173,0, , , , ,173,173,1,541.424108769659
2016,07,017878,006,0133,11,02,0,0,16041102,3,1,2, ,1,52,6,5, ,2,3,10,7,2016,16,7,2016,12,9,1963,1, , , , , , , , , , , , , ,562,8411,3,2,2, ,1,6,2016,8,8,0,8,8,8,8,48,1, ,1,2,4,1100,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1100,0, , , , ,1100,1100,1,178.721570040169
2016,07,017878,006,0133,11,03,0,0,16041103,3,1,2, ,2,50,8,3, ,3,3,10,7,2016,16,7,2016,3,11,1965,1, , , , , , , , , , , , , ,247,8510,3,2,2, ,99,99,1990,0,6,6,6,6,6,0,30,1, ,1,2,4,900,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,900,0, , , , ,900,900,1,157.420205518158
2016,07,017878,006,0134,11,01,0,0,16041101,1,1,2, ,1,69,4,5, ,1,2,10,7,2016,16,7,2016,27,2,1947,1, , , , , , , , , , , , , ,942,5610,5,5,1,2,99,99,2013,0,4,4,4,4,4,4,24,1, ,1,2, , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1, , , , , , ,0,0,1,178.721570040169
2016,07,017878,006,0134,11,03,0,0,16041103,3,1,2, ,2,36,10,5, ,3,2,10,7,2016,16,7,2016,27,1,1980,1, , , , , , , , , , , , , ,243,8521,3,5,1,35,99,99,2009,0,9,9,6,6,9,3,42,1, ,1,2,4,1100,0, , ,400,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1100,0, , ,400,0,1500,1100,1,340.764980146425
